"wiki_words","hunspell_stem","hunspell_time","rslp_stem","rslp_time","porter_stem","porter_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"deu","dar",8.11492300033569,"deu",1.09601974487305,"deu",0.150949001312256,"deu","deu","deu","deu","deu","deu"
"diversas","diverso",8.19068241119385,"divers",1.10676074028015,"divers",0.151818752288818,"div","dive","diver","divers","diversa","diversas"
"espécie","espécie",8.25198531150818,"especi",1.11580896377563,"espéc",0.152704954147339,"esp","espé","espéc","espéci","espécie","espécie"
"exército","exército",8.31334614753723,"exercit",1.12414312362671,"exércit",0.153571367263794,"exé","exér","exérc","exérci","exércit","exército"
"habitantes","habitar",8.38828659057617,"habit",1.13196706771851,"habit",0.154446125030518,"hab","habi","habit","habita","habitan","habitant"
"homem","homem",8.44980669021606,"hom",1.14001870155334,"hom",0.155313730239868,"hom","home","homem","homem","homem","homem"
"membro","membro",8.51120162010193,"membr",1.14830446243286,"membr",0.156180620193481,"mem","memb","membr","membro","membro","membro"
"mulher","mulher",8.57233691215515,"mulh",1.15665292739868,"mulh",0.157045125961304,"mul","mulh","mulhe","mulher","mulher","mulher"
"novamente","novos",8.64790606498718,"nov",1.16513919830322,"nov",0.157934665679932,"nov","nova","novam","novame","novamen","novament"
"oficial","oficial",8.70905947685242,"ofic",1.17252063751221,"oficial",0.158897399902344,"ofi","ofic","ofici","oficia","oficial","oficial"
"espaço","espaçar",8.77060651779175,"espac",1.18091225624084,"espac",0.159961223602295,"esp","espa","espaç","espaço","espaço","espaço"
"grupos","grupos",8.84572267532349,"grup",1.1899254322052,"grup",0.160840511322021,"gru","grup","grupo","grupos","grupos","grupos"
"linha","linho",8.90632319450378,"linh",1.19871759414673,"linh",0.161697387695312,"lin","linh","linha","linha","linha","linha"
"logo","logar",8.96781086921692,"log",1.20733118057251,"log",0.162558555603027,"log","logo","logo","logo","logo","logo"
"músicas","músico",9.0432915687561,"music",1.21711730957031,"músic",0.163414478302002,"mús","músi","músic","música","músicas","músicas"
"papel","papel",9.10444211959839,"papel",1.22576856613159,"papel",0.164259195327759,"pap","pape","papel","papel","papel","papel"
